[0.13426608056761324] [0.95]
[0.12107728235423565] [0.9559375]
[0.1240185311762616] [0.955625]
[0.131147725507617] [0.9559375]
[0.12307364889420569] [0.9559375]
[0.13189590419642627] [0.946875]
[0.13882228266447783] [0.950625]
[0.1209576791152358] [0.958125]
[0.12443008529953659] [0.95375]
[0.11933807586319745] [0.954375]
[0.14119442086666822] [0.9490625]
[0.12921040318906307] [0.955]
[0.12472134828567505] [0.9546875]
[0.12933352659456432] [0.9521875]
[0.12333403015509248] [0.9565625]
