[0.19428823941362364] [0.9169139]
[0.1962937001068915] [0.92218924]
[0.18192902681234446] [0.92614573]
[0.181764006585207] [0.9244972]
[0.19649716834404113] [0.9185625]
[0.18286490811792255] [0.9231784]
[0.1810895731611846] [0.9248269]
[0.1703402697892618] [0.9294428]
[0.16973374860635734] [0.92878336]
[0.18430374658544033] [0.9208704]
[0.17771532913461754] [0.9291131]
[0.17490701001546502] [0.9248269]
[0.17029519203744467] [0.9294428]
[0.17610226708632903] [0.9304319]
[0.17919431084936316] [0.9278788]
[0.1919098703078299] [0.9142763]
[0.17120756676123947] [0.9330696]
[0.1706878630597325] [0.9347181]
[0.1729787073579905] [0.9284537]
[0.17403490021898532] [0.9248269]
[0.17575671792796765] [0.925816]
[0.16405379249687602] [0.9310913]
[0.1768528865954289] [0.92812395]
[0.1658833918155242] [0.93273985]
[0.15987896009852223] [0.933729]
[0.16462177627754024] [0.93339926]
[0.17027516655336503] [0.9297725]
[0.15931971384438987] [0.93076164]
[0.16221514075965013] [0.9304319]
[0.15857717056166043] [0.93242425]
[0.15899341285936203] [0.93669635]
[0.15873416771874582] [0.9330696]
[0.15635729938539153] [0.937026]
[0.1630208080470503] [0.9277943]
[0.1650030248301909] [0.9301022]
[0.15666195708967223] [0.939334]
[0.1620448117616976] [0.93339926]
[0.1600379269389559] [0.93867457]
[0.1554853032563254] [0.93801516]
[0.15813307215033134] [0.93208045]
[0.155411019081178] [0.9363666]
[0.14820904939865617] [0.9350478]
[0.15563076702853929] [0.9390043]
[0.15343654827831052] [0.933729]
[0.14954765716201002] [0.9390043]
[0.1524078911566475] [0.93867457]
[0.1584550900892778] [0.9348485]
[0.1628802997068411] [0.93339926]
[0.14286031499578739] [0.94065285]
[0.15030043536076795] [0.94197166]
[0.1527779941344827] [0.937026]
[0.1528610006696982] [0.93867457]
[0.13833273748261993] [0.9462578]
[0.15204980913420696] [0.9383449]
[0.14845102317962872] [0.937026]
[0.14809938699272338] [0.9446093]
[0.1614046629175588] [0.937026]
[0.15376459487320526] [0.9376855]
[0.13915607743665326] [0.9439499]
[0.14792435972202425] [0.93537754]
[0.14129929867979327] [0.9459281]
[0.14354844734396943] [0.9350478]
[0.15158862910214094] [0.93801516]
[0.1447521039937889] [0.93867457]
[0.150288216408589] [0.94230133]
[0.13813665273399428] [0.9442796]
[0.1565066510120556] [0.9310913]
[0.14530810597329655] [0.9357072]
[0.13912383409845253] [0.9439499]
[0.13205897427070978] [0.94724697]
[0.12795628781193677] [0.94889545]
[0.13368387588045813] [0.9442424]
[0.14453982472655563] [0.939334]
[0.14133385094729337] [0.9418182]
[0.1523030795577018] [0.9363666]
[0.13272513073346734] [0.9462578]
[0.13331947760872034] [0.9439499]
[0.1332148724151766] [0.9442796]
[0.13513555792625534] [0.9462578]
[0.13880701170742335] [0.9455984]
[0.13099511526340782] [0.9462578]
[0.12426283192829138] [0.9492252]
[0.12349712730751075] [0.9495549]
[0.1347074499823573] [0.9452687]
[0.1335578283125704] [0.9442424]
[0.12213589756590204] [0.95219254]
[0.12980869456639277] [0.944939]
[0.12932456679767482] [0.9495549]
[0.12630131607829168] [0.9498846]
[0.1244815703142773] [0.9490909]
[0.1337786710330098] [0.9432905]
[0.1327576572711107] [0.9495549]
[0.1313514513406685] [0.9442796]
[0.12171961213844348] [0.95087373]
[0.1305198293293501] [0.9442796]
[0.1293141544896936] [0.94691724]
[0.1210117484235622] [0.95285195]
[0.13229252067859756] [0.9492252]
[0.12493606358324384] [0.94757664]
[0.12581649256831462] [0.9512034]
[0.12031569519807041] [0.9538411]
[0.12658646639388582] [0.95153314]
[0.1253030889996435] [0.9531817]
[0.1306959622190449] [0.94724697]
[0.11488323059931589] [0.95548964]
[0.11254752303163211] [0.95417076]
[0.1131015806035562] [0.9533333]
[0.1154720798709626] [0.95219254]
[0.12281227783916258] [0.95087373]
[0.11916371644405477] [0.95351136]
[0.11562303810368424] [0.95285195]
[0.11426334713910855] [0.95548964]
[0.11492481940489495] [0.95351136]
[0.11942383493679096] [0.950544]
[0.11559058658101341] [0.9512121]
[0.11674687808009213] [0.9531817]
[0.12471419543352137] [0.950544]
[0.10928320732892562] [0.9577976]
[0.10446285325978559] [0.9601055]
[0.10838947537273139] [0.95614904]
[0.1229799944616331] [0.9492252]
[0.11136120419238135] [0.95417076]
[0.11168543520298871] [0.95757574]
[0.10762625201637502] [0.9594461]
[0.10342074559981226] [0.958457]
[0.12299637598170725] [0.95087373]
[0.11057966688148582] [0.9548302]
[0.1126227195196878] [0.9591164]
[0.11823622691495718] [0.9512034]
[0.1054592278189994] [0.9601055]
[0.10224715553953669] [0.95614904]
[0.1047623259100047] [0.95878786]
[0.11517722232582307] [0.95351136]
[0.10892419375545546] [0.9571381]
[0.11938987966372634] [0.95153314]
[0.10787891737313464] [0.95878667]
[0.10071090900299574] [0.96142435]
[0.10545788120946356] [0.9564787]
[0.1004719249277747] [0.9610946]
[0.10756476905885955] [0.9597758]
[0.10177354480732571] [0.9630303]
[0.10502156866557756] [0.95878667]
[0.10427544017632802] [0.96274316]
[0.09892662920418879] [0.96142435]
[0.1002335089280037] [0.9604352]
[0.09707942418569863] [0.961754]
[0.10259796285487778] [0.9601055]
[0.10299738140594358] [0.96076494]
[0.10443794909352483] [0.96076494]
[0.09563025349472916] [0.96274316]
[0.10185535491972011] [0.96142435]
[0.10488122347908133] [0.9551599]
[0.10199852558967504] [0.95548964]
[0.09794152189384807] [0.9612121]
[0.1042146590251833] [0.96274316]
[0.09630889759484668] [0.9610946]
[0.10152337506310287] [0.9637323]
[0.10202042200592458] [0.9571381]
[0.09259603705356666] [0.9653808]
[0.10448668617110342] [0.95812726]
[0.10263767832582475] [0.9597758]
[0.09925647143322447] [0.9610946]
[0.09651932922126513] [0.96076494]
[0.09389216528743004] [0.96307284]
[0.09414198944523827] [0.96340257]
[0.09987147016958757] [0.9630303]
[0.10082196106012214] [0.95812726]
[0.09142320399934595] [0.9663636]
[0.09283483444789514] [0.96241343]
[0.091574944821062] [0.96340257]
[0.09994544654819307] [0.9610946]
[0.09390122579773622] [0.964062]
[0.09259364279833707] [0.9642424]
[0.08543530640097448] [0.9657105]
[0.09347266618357686] [0.9601055]
[0.08784064447229063] [0.96274316]
[0.0905823448615777] [0.9690076]
[0.09711031618681906] [0.9643917]
[0.08850947576625647] [0.96702933]
[0.09398923466455571] [0.96241343]
[0.08392165346452496] [0.96735907]
[0.09669957493462265] [0.96142435]
[0.09145630455394409] [0.96604025]
[0.08790451412031135] [0.964062]
[0.08790761636962523] [0.9643917]
[0.08629590577699921] [0.9687879]
[0.08127051046528991] [0.96702933]
[0.09315407094126521] [0.96076494]
[0.0841657306361505] [0.96604025]
[0.0945275117533556] [0.9650511]
[0.08803690537353416] [0.96669966]
[0.0952253196937512] [0.9610946]
[0.08351507731349485] [0.9699967]
[0.078924387041203] [0.9703264]
[0.0932685156250566] [0.9653808]
[0.08502706556657419] [0.9699967]
[0.09266064576178229] [0.96274316]
[0.0875562293092056] [0.9703264]
[0.08835097368802916] [0.9647214]
[0.08881421567748728] [0.96702933]
[0.08446763276051579] [0.9680185]
[0.08120849619515454] [0.9643917]
[0.08403510746981813] [0.9690076]
[0.07840924842686611] [0.96604025]
[0.08399290039501606] [0.96768874]
[0.0871242755834238] [0.96669966]
[0.07838941907692556] [0.97098583]
[0.08430304266991412] [0.9653808]
[0.08334604739906998] [0.96735907]
[0.08256940821298094] [0.96702933]
[0.08142835522691409] [0.9699967]
[0.07826561607700486] [0.9713155]
[0.07692206992365191] [0.97164524]
[0.0821496352394923] [0.9647214]
[0.08178660099631366] [0.97098583]
[0.0755335459325363] [0.97197497]
[0.07622350613069817] [0.97230464]
[0.08498753198264968] [0.9693373]
[0.0764577921653124] [0.97164524]
[0.07968236656323385] [0.9699967]
[0.08085986150154138] [0.96702933]
[0.06703516892152889] [0.97560173]
[0.07953346270835718] [0.97098583]
[0.07794714770643695] [0.97296405]
[0.0758916388102738] [0.969667]
[0.08164296277110583] [0.97164524]
[0.07485470263440343] [0.97296405]
[0.07881578486173255] [0.96669966]
[0.0766319035230947] [0.9680185]
[0.07665842607189946] [0.97164524]
[0.07248875472978361] [0.9726344]
[0.0906089203750934] [0.9637323]
[0.07604565733028566] [0.97098583]
[0.07318308670902818] [0.97098583]
[0.0787399533388051] [0.97164524]
[0.07459556603201772] [0.9713155]
[0.07807005501170776] [0.9706561]
[0.0786613681962535] [0.969667]
[0.07413469467857442] [0.9703264]
[0.06990367986939171] [0.9748485]
[0.06858979461440111] [0.9699967]
[0.07016809110397991] [0.9713155]
[0.07585190678186693] [0.9726344]
[0.07151791490761805] [0.97296405]
[0.07740120255894052] [0.96768874]
[0.06933862275697968] [0.97333336]
[0.07614142331640161] [0.97428286]
[0.07536178588513451] [0.97098583]
[0.0690682845265705] [0.97098583]
[0.06966771823229705] [0.9713155]
[0.06721856388328809] [0.975272]
[0.07052662964950801] [0.97230464]
[0.07071656293883316] [0.9749423]
[0.06804019555405269] [0.97362345]
[0.07603341906997499] [0.97296405]
[0.06727423535845989] [0.9739532]
[0.06620221973362754] [0.97428286]
[0.07384898186717495] [0.97362345]
[0.06874570970328638] [0.9726344]
[0.06983802749468594] [0.97230464]
[0.08556480556873847] [0.96604025]
[0.0657980037902866] [0.97560173]
[0.07011657247999656] [0.97230464]
[0.06954284685707175] [0.97362345]
[0.06479169772689172] [0.97296405]
[0.0641054643716932] [0.97560173]
[0.06561455771356497] [0.9746126]
[0.06863057975952987] [0.97560173]
[0.07311862080176494] [0.969667]
[0.07255762781609189] [0.96909094]
[0.07215389262785367] [0.9703264]
[0.06529934943997247] [0.9739532]
[0.0711647365481752] [0.9726344]
[0.06710168814911156] [0.9739532]
[0.06259427759077853] [0.97692055]
[0.07481531927069146] [0.96735907]
[0.07024545814292957] [0.97428286]
[0.060781398957425896] [0.97636366]
[0.06940750077248917] [0.97362345]
[0.06621936735034756] [0.9765908]
[0.061164482396269176] [0.97889876]
[0.06308748539901983] [0.97889876]
[0.06988495664208626] [0.97164524]
[0.057996338394099275] [0.97626114]
[0.06433070896876908] [0.97692055]
[0.07035355930954483] [0.9713155]
[0.06169430442102821] [0.97296405]
[0.06549611245857738] [0.9746126]
[0.06867494522183987] [0.9749423]
[0.06249898633966637] [0.9739532]
[0.05682910171187272] [0.97823936]
[0.0717176072793238] [0.9690076]
[0.06737394898422394] [0.97197497]
[0.05678772965389001] [0.975272]
[0.06131481005267621] [0.975272]
[0.05962546564026945] [0.9779097]
[0.06631090254946188] [0.9739394]
