[0.11868904856734648] [0.9518629]
[0.12035091561804186] [0.950544]
[0.10780771817315579] [0.958457]
[0.12363509566299286] [0.9485658]
[0.10827070135961879] [0.95666665]
[0.11336254599419507] [0.9572727]
[0.12059412363817147] [0.9502143]
[0.11657207100315924] [0.9548302]
[0.11459987712277857] [0.9558193]
[0.11036074916904923] [0.9558193]
[0.11297426977803753] [0.95285195]
[0.1172000263125795] [0.95417076]
[0.11159160705218801] [0.9531817]
[0.11777171306864798] [0.95417076]
[0.11081822487708959] [0.9531817]
[0.11530238395864485] [0.95417076]
[0.10699815913283153] [0.9591164]
[0.1114318274831147] [0.9558193]
[0.11757391038268775] [0.95219254]
[0.1087393863706985] [0.9538411]
[0.11586679701723755] [0.95153314]
[0.11167472921510832] [0.95548964]
[0.1086333711087173] [0.95548964]
[0.10451959817864656] [0.95614904]
[0.10786980322816155] [0.9569697]
[0.11458970433880385] [0.9485658]
[0.11372330847438554] [0.9564787]
[0.10693948474942046] [0.95548964]
[0.11406824206445149] [0.9518629]
[0.1035170157455667] [0.9571381]
[0.10700701786713167] [0.9590909]
[0.10854201357473027] [0.9563636]
[0.10307222993125076] [0.95746785]
[0.10299325887662839] [0.9577976]
[0.09864643331097567] [0.9577976]
[0.10364895288184889] [0.9601055]
[0.09574365909888412] [0.9597758]
[0.10555562397057944] [0.958457]
[0.10213287520331987] [0.958457]
[0.10771817172316486] [0.95285195]
[0.10635510692418977] [0.95746785]
[0.1112546988508918] [0.95363635]
[0.10732410644742077] [0.9564787]
[0.10499014265157959] [0.9581818]
[0.09875822701039111] [0.96076494]
[0.108974059481767] [0.96076494]
[0.0910101300501564] [0.961754]
[0.1126890859820626] [0.950303]
[0.10208368078832221] [0.9610946]
[0.09949169036012022] [0.9601055]
[0.09000840197611161] [0.961754]
[0.09196879625556259] [0.96307284]
[0.10805291411551562] [0.9569697]
[0.0958355927561676] [0.9610946]
[0.10092125408550398] [0.96142435]
[0.09340200397811468] [0.96208376]
[0.09879604480151018] [0.9571381]
[0.0917104671264305] [0.96142435]
[0.09120080271472328] [0.96274316]
[0.09703915647178535] [0.9610946]
[0.09935948930003426] [0.95666665]
[0.09702105404538287] [0.96208376]
[0.09440591393368417] [0.9653808]
[0.09010706949079986] [0.9657105]
[0.09352493163798849] [0.9637323]
[0.09385253286540036] [0.96208376]
[0.1059102301405693] [0.9564787]
[0.09169745533685655] [0.96307284]
[0.08843928957256672] [0.9647214]
[0.09674642151028183] [0.95746785]
[0.09318637075943598] [0.961754]
[0.09171231840502261] [0.96142435]
[0.0884216398398671] [0.9650511]
[0.09185995118053211] [0.96340257]
[0.09280584718659889] [0.96340257]
[0.09510578074917182] [0.961754]
[0.09532172961711412] [0.9610946]
[0.09338087056469611] [0.96604025]
[0.09493925693360242] [0.9612121]
[0.08647897486546391] [0.9657105]
[0.08657240529353966] [0.9647214]
[0.09153149916645799] [0.9653808]
[0.08622265320812914] [0.96702933]
[0.10173537983060708] [0.96076494]
[0.09752584810338318] [0.96076494]
[0.09198930114507675] [0.960303]
[0.09037404882875441] [0.96340257]
[0.08739390210216288] [0.9650511]
[0.08762251131759789] [0.964062]
[0.09220007050535563] [0.96307284]
[0.07728124052492495] [0.9713155]
[0.09135423725955447] [0.96142435]
[0.08891122782295229] [0.9643917]
[0.08347242088982897] [0.96735907]
[0.08979712954688261] [0.96208376]
[0.08193508399287505] [0.96735907]
[0.08641923851638472] [0.96702933]
[0.08643694175913945] [0.964062]
[0.08222093533367125] [0.96702933]
[0.08485368401195365] [0.964062]
[0.08177415139302538] [0.9686779]
[0.08410138539549859] [0.9653808]
[0.0877828947042735] [0.964062]
[0.08862737667831508] [0.9663636]
[0.0834461889468303] [0.9703264]
[0.08013250874806818] [0.96768874]
[0.07149944674043109] [0.9726344]
[0.08931316104445802] [0.9657105]
[0.07727539864424929] [0.9680185]
[0.08034643806465537] [0.96735907]
[0.0801889608834311] [0.96702933]
[0.08256025172092697] [0.9663636]
[0.08021657846860669] [0.97164524]
[0.0775187051938856] [0.96834815]
[0.0777050037338637] [0.96735907]
[0.06805529340762649] [0.97560173]
[0.07905806322479814] [0.97197497]
[0.0742705569348552] [0.97]
[0.07820822415702067] [0.97230464]
[0.07891066311227579] [0.9657105]
[0.07919902046433071] [0.9690076]
[0.07669409588495182] [0.9713155]
[0.07561278305616152] [0.9703264]
[0.08223969993410903] [0.96604025]
[0.08082054294903719] [0.96834815]
[0.08876085857098753] [0.9633333]
[0.07395898433573522] [0.9693373]
[0.08153306527761513] [0.9663699]
[0.08425924749390898] [0.9650511]
[0.07426315378010803] [0.97164524]
[0.07206463870895487] [0.9726344]
[0.07092128041855306] [0.9713155]
[0.07614394988525998] [0.97212124]
[0.07964747725561276] [0.9699967]
[0.07472758528681585] [0.9726344]
[0.07719994581771533] [0.9690076]
[0.07627210019176603] [0.9693373]
[0.06723290521183542] [0.97362345]
[0.07014820590600533] [0.9690076]
[0.07647188875960549] [0.969667]
[0.07766498320481995] [0.9684848]
[0.07046786606547623] [0.97164524]
[0.0657961719515563] [0.97692055]
[0.07942609167653186] [0.97164524]
[0.0690414380672748] [0.97428286]
[0.07286527672548558] [0.9693373]
[0.07798587659080941] [0.9663699]
[0.0748422917947689] [0.9732938]
[0.07151234780026472] [0.9699967]
[0.06551830259793825] [0.9746126]
